title,firm,genre,num_of_reviews,price,stars,description_lenght,PEGI
Gry dla małych dzieci w wieku 2 i 3 lat,IDZ Digital Private Limited,Edukacyjne,12904,Zainstaluj,3.9,2184,3
Wyśnione miasto małej pandy,BabyBus,Edukacyjne,48877,Zainstaluj,4.1,1876,3
Lody i smoothie,BabyBus,Edukacyjne,146134,Zainstaluj,4.3,1258,3
Mała Panda: Opieka nad dinozaurami,BabyBus,Edukacyjne,9948,Zainstaluj,4.2,1977,3
Galeria handlowa Małej Pandy,BabyBus,Edukacyjne,43870,Zainstaluj,4.3,2415,3
Fabryka lodów na patyku,BabyBus,Edukacyjne,97109,Zainstaluj,4.4,1013,3
Farma dla dzieci Baby Pandy,BabyBus,Edukacyjne,88817,Zainstaluj,4.4,2013,3
Bezpieczeństwo Baby Pandy – wskazówki,BabyBus,Edukacyjne,35770,Zainstaluj,4.2,2497,3
Chińskie przepisy,BabyBus,Edukacyjne,135875,Zainstaluj,4.3,2070,3
Jedźmy! — Autobus szkolny Baby Pandy,BabyBus,Edukacyjne,167632,Zainstaluj,4.3,2051,3
Baby Panda's Vacation,BabyBus,Edukacyjne,37144,Zainstaluj,4.2,2233,3
Miasteczko Małej Pandy: Moje marzenie,BabyBus,Edukacyjne,55882,Zainstaluj,4.3,2055,3
Kwiatowe Zrób to sam z Małą Pandą,BabyBus,Edukacyjne,26380,Zainstaluj,4.3,2280,3
Kick the Buddy,Playgendary,Akcja,3291686,Zainstaluj,4.1,1606,12
Bezpieczeństwo pożarowe Małej Pandy,BabyBus,Edukacyjne,22056,Zainstaluj,4.1,2508,3
Opieka nad Baby Pandą,BabyBus,Edukacyjne,165449,Zainstaluj,4.2,1263,3
SpongeBob: Krusty Cook-Off,Tilting Point,Rekreacyjne,279440,Zainstaluj,4.0,6579,3
Gra w bitwę herosów Małej Pandy,BabyBus,Edukacyjne,24925,Zainstaluj,4.2,1649,3
Crash Bandicoot: On the Run!,King,Akcja,789725,Zainstaluj,4.3,7980,3
Salon dla zwierząt Małej Pandy,BabyBus,Edukacyjne,47655,Zainstaluj,4.2,2480,3
Mały Kapitan Pandy,BabyBus,Edukacyjne,28783,Zainstaluj,4.1,1252,3
Robotyczna kuchnia Małej Pandy — dla dzieci,BabyBus,Edukacyjne,57044,Zainstaluj,4.2,2163,3
Applaydu – oficjalna gra dla dzieci od Kinder,Ferrero Trading Lux S.A.,Edukacyjne,37945,Zainstaluj,4.3,3737,3
Zombie Catchers 🧟,Deca Games,Akcja,1834618,Zainstaluj,4.4,3106,7
Paint By Number - Darmowa kolorowanka i łamigłówka,Better Life - Color and Draw,Planszowe,1369718,Zainstaluj,4.6,2627,3
Kuchenne Szaleństwo – Gra o Kuchni Szefa,ZenLife Games,Zręcznościowe,2174598,Zainstaluj,4.6,2276,12
Świat Małej Pandy,BabyBus,Edukacyjne,262463,Zainstaluj,4.3,2907,3
Candy Crush Saga,King,Rekreacyjne,31737011,Zainstaluj,4.6,4691,3
Candy Crush Soda Saga,King,Rekreacyjne,8137431,Zainstaluj,4.5,6022,3
